73930,WLADIMIR AFONSO DA COSTA RABELO,WLADIMIR COSTA,PA,SD,16,328,3,16,33733,0.0107609758989713
132056,PAULO SALIM MALUF,PAULO MALUF,SP,PP,40.8,236,0,12,33733,0.00856134942044882
73926,JANETE MARIA GOES CAPIBERIBE,JANETE CAPIBERIBE,AP,PSB,52,339,5,16,33733,0.0122135594225239
73424,SIMAO SESSIM,SIMAO SESSIM,RJ,PP,52,265,7,16,33733,0.0100791509797528
74385,HIDEKAZU TAKAYAMA,TAKAYAMA,PR,PSC,52.8,219,3,16,33733,0.00862063854385913
178914,ADALBERTO CAVALCANTI RODRIGUES,ADALBERTO CAVALCANTI,PE,PMB,60,14,0,4,33733,0.0023122758130021
74399,ONYX DORNELLES LORENZONI,ONYX LORENZONI,RS,DEM,63.2,949,3,16,33733,0.030569472030356
178943,MARCOS BEZERRA RIBEIRO SOARES,MARCOS SOARES,RJ,PR,63.2,31,0,4,33733,0.00291109595944624
73584,ANTONIO CARLOS DE MENDES THAME,ANTONIO CARLOS MENDES THAME,SP,PSDB,66.1157024793388,2242,14,16,33733,0.069312415215941
74537,CLAUDIO CAJADO SAMPAIO,CLAUDIO CAJADO,BA,DEM,68.8,327,6,16,33733,0.0123854978804138
73808,SERGIO LUIS LACERDA BRITO,SERGIO BRITO,BA,PSD,71.2,167,2,12,33733,0.00747635846204014
160591,VINICIUS DE AZEVEDO GURGEL,VINICIUS GURGEL,AP,PR,72,31,0,8,33733,0.00329054634927223
178851,JOZIANE ARAUJO NASCIMENTO,JOZI ARAUJO,AP,PTB,72.8,55,0,4,33733,0.00390715323273945
160667,GUILHERME MUSSI FERREIRA,GUILHERME MUSSI,SP,PP,73.6,257,0,8,33733,0.0100376485933655
178991,SERGIO BAVINI,SERGIO REIS,SP,PRB,73.6,24,0,4,33733,0.00301188746924377
141401,CARLOS GOMES BEZERRA,CARLOS BEZERRA,MT,PMDB,73.6,790,4,12,33733,0.0260753564758545
141542,SERGIO IVAN MORAES,SERGIO MORAES,RS,PTB,73.6,61,1,12,33733,0.00437553730768091
178838,CARLOS CESAR CORREIA DE MESSIAS,CESAR MESSIAS,AC,PSB,74.4,9,0,4,33733,0.00259093469303056
178885,ANTONIO DA CRUZ FILGUEIRA JUNIOR,JUNIOR MARRECA,MA,PEN,74.4,52,0,4,33733,0.00386565084635224
160598,FLAVIA CARREIRO ALBUQUERQUE MORAIS,FLAVIA MORAIS,GO,PDT,74.4,671,0,8,33733,0.0223342127886639
74784,LUIZA ERUNDINA DE SOUSA,LUIZA ERUNDINA,SP,PSB,75.2,915,15,16,33733,0.0302730264133045
151208,LAERCIO JOSE DE OLIVEIRA,LAERCIO OLIVEIRA,SE,SD,76,919,3,12,33733,0.0299410073222067
143632,DOMINGOS GOMES DE AGUIAR NETO,DOMINGOS NETO,CE,PMB,76,263,0,8,33733,0.0102866629116889
178941,EZEQUIEL CORTAZ TEIXEIRA,EZEQUIEL TEIXEIRA,RJ,PMB,76.4227642276423,60,0,4,33733,0.0041627712989548
166402,MAGDA MOFATTO HON,MAGDA MOFATTO,GO,PR,76.8,47,0,8,33733,0.00390715323273945
141558,WALDIR MARANHAO CARDOSO,WALDIR MARANHAO,MA,PP,76.8,1917,1,12,33733,0.0594907064299054
74650,BONIFACIO JOSE TAMM DE ANDRADA,BONIFACIO DE ANDRADA,MG,PSDB,77.6,667,5,16,33733,0.0226958764414668
141389,ANTONIO PEDRO DE SIQUEIRA INDIO DA COSTA,INDIO DA COSTA,RJ,PSD,77.6,313,0,8,33733,0.0118163222956749
141483,LINDOMAR BARBOSA ALVES,LINDOMAR GARCON,RO,PMDB,77.6,148,0,12,33733,0.00704354786114487
160531,JOHNATHAN PEREIRA DE JESUS,JHONATAN DE JESUS,RR,PRB,77.6,102,0,8,33733,0.00556131977588711
178830,SINVAL MALHEIROS PINTO JUNIOR,DR. SINVAL MALHEIROS,SP,PMB,77.6,15,0,8,33733,0.00298224290753861
141434,FLAVIANO FLAVIO BAPTISTA DE MELO,FLAVIANO MELO,AC,PMDB,77.6,125,1,12,33733,0.00639136750363146
178867,JOSE MARIA MACEDO JUNIOR,MACEDO,CE,PMB,78.4,15,0,4,33733,0.00288738031008212
74177,MARINHA CELIA ROCHA RAUPP DE MATOS,MARINHA RAUPP,RO,PMDB,78.4,447,8,16,33733,0.0162867222008123
160601,MARCO ANTONIO FELICIANO,PR. MARCO FELICIANO,SP,PSC,78.4,344,0,8,33733,0.0127590193578988
74079,JOSE BENITO PRIANTE JUNIOR,JOSE PRIANTE,PA,PMDB,79.2,124,2,12,33733,0.00643879880235971
160558,PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE,SP,PR,79.2,109,0,8,33733,0.00581626300655145
178995,ANTONIO ROBERTO RODRIGUES GOES DA SILVA,ROBERTO GOES,AP,PDT,79.2,10,0,4,33733,0.00276287315092046
160600,ARTHUR DE OLIVEIRA MAIA DA SILVA,ARTHUR OLIVEIRA MAIA,BA,SD,79.2,438,1,8,33733,0.0155989683692527
141428,FABIO SALUSTINO MESQUITA DE FARIA,FABIO FARIA,RN,PSD,80,275,1,12,33733,0.0109091987074971
160669,GENECIAS MATEUS NORONHA,GENECIAS NORONHA,CE,SD,80,27,0,8,33733,0.00340912459609285
160654,RENZO DO AMARAL BRAZ,RENZO BRAZ,MG,PP,80,60,0,8,33733,0.00438739513236297
141485,LUIZ CARLOS GHIORZZI BUSATO,LUIZ CARLOS BUSATO,RS,PTB,80,171,1,12,33733,0.00782616429016097
178931,LUCIANO DUCCI,LUCIANO DUCCI,PR,PSB,80,80,0,4,33733,0.00486170811964545
74383,FERNANDO LUCIO GIACOBO,GIACOBO,PR,PR,80,261,3,16,33733,0.0106720422138559
178895,MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,MG,DEM,80,12,0,4,33733,0.0028458779236949
141527,RENATO DELMAR MOLLING,RENATO MOLLING,RS,PP,80,542,0,12,33733,0.0187946521210684
81232,IRAJA SILVESTRE FILHO,IRAJA ABREU,TO,PSD,80.8,127,0,8,33733,0.00639729641597249
178999,BRUNIELE FERREIRA GOMES,BRUNNY,MG,PMB,80.8,24,0,4,33733,0.00322532831352088
141478,LAERTE RODRIGUES DE BESSA,LAERTE BESSA,DF,PR,80.8,462,1,8,33733,0.0163578691489046
160676,FERNANDO DANTAS TORRES,FERNANDO TORRES,BA,PSD,81.1475409836066,42,0,8,33733,0.00388781137116789
74273,JEFFERSON ALVES DE CAMPOS,JEFFERSON CAMPOS,SP,PSD,81.6,299,3,16,33733,0.01184596685738
94931,LUCIO QUADROS VIEIRA LIMA,LUCIO VIEIRA LIMA,BA,PMDB,81.6,115,0,8,33733,0.00606527732487475
74075,ELCIONE THEREZINHA ZAHLUTH BARBALHO,ELCIONE BARBALHO,PA,PMDB,81.6,300,3,12,33733,0.0117570331722645
141472,JOSE RICARDO ALVARENGA TRIPOLI,RICARDO TRIPOLI,SP,PSDB,81.6,341,0,12,33733,0.0128835265170604
178839,JESSICA ROJAS SALES,JESSICA SALES,AC,PMDB,82.4,4,0,4,33733,0.00267986837814603
178961,SHERIDAN ESTERFANY OLIVEIRA DE ANCHIETA,SHERIDAN,RR,PSDB,82.4,65,0,4,33733,0.0044881866421605
160536,MARCO ANTONIO TEBALDI,MARCO TEBALDI,SC,PSDB,82.4,211,0,8,33733,0.00893487089793377
178902,JOSE ORCIRIO MIRANDA DOS SANTOS,ZECA DO PT,MS,PT,82.4,12,0,4,33733,0.00291702487178727
178852,MARCOS JOSE REATEGUI SOUZA,MARCOS REATEGUI,AP,PSC,82.4,44,0,4,33733,0.00386565084635224
160632,JOSE SILVA SOARES,ZE SILVA,MG,SD,82.4,245,0,8,33733,0.00994278599590905
73458,ALEX CANZIANI SILVEIRA,ALEX CANZIANI,PR,PTB,82.4,605,11,16,33733,0.0211780748821629
74554,JOSE ALVES ROCHA,JOSE ROCHA,BA,PR,82.4,663,5,16,33733,0.0227195920908309
73666,JOVAIR DE OLIVEIRA ARANTES,JOVAIR ARANTES,GO,PTB,82.4,1012,6,16,33733,0.0330951886876353
160613,SEBASTIAO SIBA MACHADO OLIVEIRA,SIBA MACHADO,AC,PT,82.4,371,0,8,33733,0.0136780007707586
160588,DIEGO LEONARDO DE ANDRADE CARVALHO,DIEGO ANDRADE,MG,PSD,83.2,193,0,8,33733,0.0084249844366051
74570,JUTAHY MAGALHAES JUNIOR,JUTAHY JUNIOR,BA,PSDB,83.2,375,3,16,33733,0.0141463848457001
74090,ATILA SIDNEY LINS ALBUQUERQUE,ATILA LINS,AM,PSD,83.2,551,4,16,33733,0.0193934722675125
74270,GILBERTO NASCIMENTO SILVA,GILBERTO NASCIMENTO,SP,PSC,83.2,116,2,8,33733,0.00620164230871847
160565,MARA CRISTINA GABRILLI,MARA GABRILLI,SP,PSDB,83.2,324,3,8,33733,0.0123973557050959
73486,DARCI POMPEO DE MATTOS,POMPEO DE MATTOS,RS,PDT,84,1012,6,12,33733,0.0330240417395429
73586,JULIO CESAR DELGADO,JULIO DELGADO,MG,PSB,84,729,8,16,33733,0.0248124981472149
159237,FRANCISCO DE ASSIS CARVALHO GONCALVES,ASSIS CARVALHO,PI,PT,84,256,0,8,33733,0.010316307473394
141413,DECIO NERY DE LIMA,DECIO LIMA,SC,PT,84,495,0,12,33733,0.0175199359677467
74558,GIVALDO DE SA GOUVEIA,GIVALDO CARIMBAO,AL,PROS,84,205,10,16,33733,0.00933803693712388
160576,CESAR HANNA HALUM,CESAR HALUM,TO,PRB,84,272,0,8,33733,0.0107906204606765
74376,VANDER LUIZ DOS SANTOS LOUBET,VANDER LOUBET,MS,PT,84,272,6,16,33733,0.0112056443245487
74535,BENITO DA GAMA SANTOS,BENITO GAMA,BA,PTB,84,60,3,4,33733,0.00447632881747843
74467,DAMIAO FELICIANO DA SILVA,DAMIAO FELICIANO,PB,PDT,84.8,219,1,16,33733,0.00950997539501378
74665,JAIME MARTINS FILHO,JAIME MARTINS,MG,PSD,84.8,919,7,16,33733,0.0304390359588533
160677,FRANCISCO FLORIANO DE SOUSA SILVA,FRANCISCO FLORIANO,RJ,PR,84.8,80,0,8,33733,0.00512258026265082
141421,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,EDUARDO DA FONTE,PE,PP,84.8,473,0,12,33733,0.0168914712595974
129618,MARIA GORETE PEREIRA,GORETE PEREIRA,CE,PR,84.8,966,6,16,33733,0.0318026857972905
74235,MARCUS ANTONIO VICENTE,MARCUS VICENTE,ES,PP,85.2459016393443,241,6,12,33733,0.0102050188728943
178875,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,GO,PSDB,85.6,133,0,4,33733,0.00659887943556754
141518,PAULO PEREIRA DA SILVA,PAULO PEREIRA DA SILVA,SP,SD,85.6,206,1,12,33733,0.00902973349539027
178939,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,CLARISSA GAROTINHO,RJ,PR,85.6,168,0,4,33733,0.00763643909524798
74140,JOSE CARLOS LEAO DE ARAUJO,JOSE CARLOS ARAUJO,BA,PSD,85.6,358,4,16,33733,0.0137432188065099
178896,NEWTON CARDOSO JUNIOR,NEWTON CARDOSO JR,MG,PMDB,85.6,64,0,4,33733,0.00455340467791184
92776,STEFANO AGUIAR DOS SANTOS,STEFANO AGUIAR,MG,PSB,85.6,65,1,8,33733,0.00473127204814277
67138,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,IRACEMA PORTELLA,PI,PP,85.6,131,0,8,33733,0.00665816855897786
74553,JOSE CARLOS ALELUIA COSTA,JOSE CARLOS ALELUIA,BA,DEM,85.6,1061,4,12,33733,0.0344647674384134
74351,JOSUE BENGTSON,JOSUE BENGTSON,PA,PTB,85.6,208,3,12,33733,0.00914831174221089
141411,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO,MS,PDT,85.6,124,2,8,33733,0.00650994575045208
141372,AELTON JOSE DE FREITAS,AELTON FREITAS,MG,PR,86.4,237,5,12,33733,0.0100910088044348
160620,WASHINGTON REIS DE OLIVEIRA,WASHINGTON REIS,RJ,PMDB,86.4,118,1,8,33733,0.00632614946788012
178946,SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,RJ,PMDB,86.4,73,0,4,33733,0.00484392138262236
74043,JOSE WELLINGTON ROBERTO,WELLINGTON ROBERTO,PB,PR,86.4,192,1,16,33733,0.00875700352770284
178938,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,RJ,S.PART.,86.4,82,0,4,33733,0.00511072243796875
64960,MARIA HELENA VERONESE RODRIGUES,MARIA HELENA,RR,PSB,86.4,303,1,12,33733,0.0119289716301544
160559,ALCEU MOREIRA DA SILVA,ALCEU MOREIRA,RS,PMDB,86.4,987,0,8,33733,0.0320576290279548
160589,BRUNA DIAS FURLAN,BRUNA FURLAN,SP,PSDB,86.4,137,0,8,33733,0.00685975157857291
74848,JANDIRA FEGHALI,JANDIRA FEGHALI,RJ,PCDOB,86.4,965,11,12,33733,0.0318501170960187
73714,Jose Reinaldo Carneiro Tavares,JOSE REINALDO,MA,PSB,86.4,5,0,4,33733,0.00282809118667181
74291,JOSE ARNON CRUZ BEZERRA DE MENEZES,ARNON BEZERRA,CE,PTB,87.2,101,4,16,33733,0.00617199774701331
160674,HUGO MOTTA WANDERLEY DA NOBREGA,HUGO MOTTA,PB,PMDB,87.2,174,1,8,33733,0.00800996057273293
163831,FERNANDO ANTONIO CECILIANO JORDAO,FERNANDO JORDAO,RJ,PMDB,87.2,150,0,8,33733,0.00726884653010405
178918,KAIO CESAR DE MOURA MANICOBA NOVAES FERRAZ,KAIO MANICOBA,PE,PHS,87.2,70,0,4,33733,0.00477870334687102
178866,LUIZIANNE DE OLIVEIRA LINS,LUIZIANNE LINS,CE,PT,87.2,34,0,4,33733,0.00371149912548543
160604,PEDRO FRANCISCO UCZAI,PEDRO UCZAI,SC,PT,87.2,451,0,8,33733,0.0161918596033558
178957,ABEL SALVADOR MESQUITA JUNIOR,ABEL MESQUITA JR.,RR,PMB,87.2,5,0,4,33733,0.00285180683603593
141458,JOAO CARLOS PAOLILO BACELAR FILHO,JOAO CARLOS BACELAR,BA,PR,87.2,149,0,12,33733,0.00735778021521952
178950,ANTONIO JACOME DE LIMA JUNIOR,ANTONIO JACOME,RN,PMN,87.2,61,1,4,33733,0.00454154685322977
160640,EROS FERREIRA BIONDINI,EROS BIONDINI,MG,PTB,87.2,93,0,8,33733,0.00557910651291021
160509,JORGINHO DOS SANTOS MELLO,JORGINHO MELLO,SC,PR,87.2,298,0,8,33733,0.011656241662467
162332,LUIZ HILOSHI NISHIMORI,LUIZ NISHIMORI,PR,PR,87.2,131,0,8,33733,0.0067055998577061
133373,MARCO AURELIO SPALL MAIA,MARCO MAIA,RS,PT,87.2,2006,6,16,33733,0.0627041769187442
160596,HEULER ABREU CRUVINEL,HEULER CRUVINEL,GO,PSD,88,185,0,8,33733,0.00833012183914861
74158,MARIO LUCIO HERINGER,MARIO HERINGER,MG,PDT,88,315,4,16,33733,0.0125396496012806
74356,SILAS CAMARA,SILAS CAMARA,AM,PSD,88,2748,3,16,33733,0.0846352236682181
178937,ALTINEU CORTES FREITAS COUTINHO,ALTINEU CORTES,RJ,PR,88,249,0,4,33733,0.0101087955414579
178919,MARINALDO ROSENDO DE ALBUQUERQUE,MARINALDO ROSENDO,PE,PSB,88,13,0,4,33733,0.00311267897904129
74693,RODRIGO FELINTO IBARRA EPITACIO MAIA,RODRIGO MAIA,RJ,DEM,88,784,4,16,33733,0.0264429490409984
166401,NILSON APARECIDO LEITAO,NILSON LEITAO,MT,PSDB,88,526,0,8,33733,0.0184389173806065
178903,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,MT,PSB,88,16,0,4,33733,0.00320161266415676
178936,ALEXANDRE VALLE CARDOSO,ALEXANDRE VALLE,RJ,PMB,88,26,0,4,33733,0.00349805828120831
74445,JOAO CASTELO RIBEIRO GONCALVES,JOAO CASTELO,MA,PSDB,88,87,3,8,33733,0.00551388847715887
178889,JOSE CARLOS NUNES JUNIOR,ZE CARLOS,MA,PT,88,31,0,4,33733,0.00364628108973409
178907,FRANCISCO ALVES DE AGUIAR,FRANCISCO CHAPADINHA,PA,PSD,88,19,0,4,33733,0.00329054634927223
74574,PAULO SERGIO PARANHOS DE MAGALHAES,PAULO MAGALHAES,BA,PSD,88,746,1,16,33733,0.0252275220110871
178861,RONALDO CARLETTO,RONALDO CARLETTO,BA,PP,88,85,0,4,33733,0.00524708742181247
73437,PAULO ROBERTO GOMES MANSUR,BETO MANSUR,SP,PRB,88,231,3,12,33733,0.00990128360952183
74262,CARLOS HENRIQUE FOCESI SAMPAIO,CARLOS SAMPAIO,SP,PSDB,88,591,3,16,33733,0.0206919040701983
73535,JORGE TADEU MUDALEN,JORGE TADEU MUDALEN,SP,DEM,88,323,0,16,33733,0.0126582278481013
73805,ROBERTO JOAO PEREIRA FREIRE,ROBERTO FREIRE,SP,PPS,86.1386138613861,203,4,12,33733,0.00904570046723938
178911,SIMONE MARIA MORGADO FERREIRA,SIMONE MORGADO,PA,PMDB,88.8,66,0,4,33733,0.00470755639877864
160552,DANRLEI DE DEUS HINTERHOLZ,DANRLEI DE DEUS HINTERHOLZ,RS,PSD,88.8,80,0,8,33733,0.00524115850947144
141553,VANDERLEI MACRIS,VANDERLEI MACRIS,SP,PSDB,88.8,871,1,12,33733,0.028838229626775
178951,RAFAEL HUETE DA MOTTA,RAFAEL MOTTA,RN,PSB,88.8,45,0,4,33733,0.00408502060297039
178834,ADALBERTO SOUZA GALVAO,BEBETO,BA,PSB,88.8,48,0,8,33733,0.00429253253490647
178906,ROBERTO SALAME FILHO,BETO SALAME,PA,PROS,88.8,38,0,4,33733,0.0038775086710343
160642,FRANCISCO EURICO DA SILVA,PASTOR EURICO,PE,PSB,88.8,196,0,8,33733,0.00867992766726944
178887,RUBENS PEREIRA E SILVA JUNIOR,RUBENS PEREIRA JUNIOR,MA,PCDOB,88.8,108,0,4,33733,0.00595262799039516
178930,EVANDRO ROGERIO ROMAN,EVANDRO ROMAN,PR,PSD,88.8,72,0,4,33733,0.00488542376900958
160570,JERONIMO PIZZOLOTTO GOERGEN,JERONIMO GOERGEN,RS,PP,88.8,720,1,8,33733,0.0242433225624759
178954,LUCIO ANTONIO MOSQUINI,LUCIO MOSQUINI,RO,PMDB,88.8,58,0,4,33733,0.0044703999051374
178845,RONALDO AUGUSTO LESSA SANTOS,RONALDO LESSA,AL,PDT,88.8,25,0,4,33733,0.00349212936886728
93472,CRISTIANE BRASIL FRANCISCO,CRISTIANE BRASIL,RJ,PTB,88.8,152,0,4,33733,0.00725698870542199
167722,MARCOS ROGERIO DA SILVA BRITO,MARCOS ROGERIO,RO,PDT,88.8,553,0,8,33733,0.0192630361960098
74398,MARIA DO ROSARIO NUNES,MARIA DO ROSARIO,RS,PT,88.8,483,7,16,33733,0.0176325853022263
160512,AUREO LIDIO MOREIRA RIBEIRO,AUREO,RJ,SD,88.8,315,0,8,33733,0.0122076305101829
74395,JOSE OTAVIO GERMANO,JOSE OTAVIO GERMANO,RS,PP,88.8,243,1,16,33733,0.0103400231227581
152610,BENEDITO ROBERTO ALVES FERREIRA,ROBERTO ALVES,SP,PRB,88.8,124,3,8,33733,0.00663445290961373
178973,ANA LUCIA LIPPAUS PERUGINI,ANA PERUGINI,SP,PT,88.8,36,0,4,33733,0.00381821954762399
160543,ANDRE LUIS DANTAS FERREIRA,ANDRE MOURA,SE,PSC,88.8,625,2,8,33733,0.0214567337621913
178966,GEOVANIA DE SA RODRIGUES,GEOVANIA DE SA,SC,PSDB,88.8,77,0,4,33733,0.00503364657753535
97707,HERACLITO DE SOUSA FORTES,HERACLITO FORTES,PI,PSB,88.8,45,0,4,33733,0.00408502060297039
160569,WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,BA,PT,88.8,275,1,8,33733,0.0110514926036819
160646,FERNANDO DESTITO FRANCISCHINI,FERNANDO FRANCISCHINI,PR,SD,84.3373493975904,428,0,8,33733,0.0154251726617138
